SPECTRUM - MS,,,
paper spray_metabolome_water_pos.raw,,,
FTMS + p NSI Full ms [50.00-100.00],,,
Scan #: 92-106,,,
RT: 0.59-0.68,,,
AV: 15,,,
Data points: 13997,,,
Mass,Intensity,Rel Abund,Peak
50.69718,0,0,FALSE
50.697257,0,0,FALSE
50.697334,0,0,FALSE
50.70745,0,0,FALSE
50.707528,0,0,FALSE
50.707605,0,0,FALSE
50.707682,0,0,FALSE
50.707759,5.418831,0.001039133,FALSE
50.707837,7.538677,0.001445642,FALSE
50.707914,8.288879,0.001589503,TRUE
50.707991,7.54729,0.001447294,FALSE
50.708068,5.935747,0.001138259,FALSE
50.708145,0.169394,3.24836E-05,FALSE
50.708223,0,0,FALSE
50.7083,0,0,FALSE
50.708377,0,0,FALSE
50.708454,0,0,FALSE
50.715329,0,0,FALSE
50.715407,0,0,FALSE
50.715484,0,0,FALSE
50.715561,0,0,FALSE
50.715638,5.858107,0.00112337,FALSE
50.715716,8.653872,0.001659496,FALSE
50.715793,9.360029,0.001794911,TRUE
50.71587,7.724314,0.00148124,FALSE
50.715947,4.955821,0.000950345,FALSE
50.716025,0.078301,1.50153E-05,FALSE
50.716102,0,0,FALSE
50.716179,0,0,FALSE
50.716256,0,0,FALSE
50.716334,0,0,FALSE
50.778968,0,0,FALSE
50.779046,0,0,FALSE
50.779123,0,0,FALSE
50.779201,0,0,FALSE
50.779278,5.436254,0.001042474,FALSE
50.779355,8.669066,0.001662409,FALSE
50.779433,10.457399,0.002005346,TRUE
50.77951,9.636108,0.001847852,FALSE
50.779588,6.629342,0.001271265,FALSE
50.779665,0.099637,1.91067E-05,FALSE
50.779742,0,0,FALSE
50.77982,0,0,FALSE
50.779897,0,0,FALSE
50.779975,0,0,FALSE
50.784309,0,0,FALSE
50.784387,0,0,FALSE
50.784464,0,0,FALSE
50.784542,0,0,FALSE
50.784619,7.320477,0.001403799,FALSE
50.784696,12.139321,0.002327877,FALSE
50.784774,16.306182,0.003126928,FALSE
50.784851,17.551588,0.003365752,TRUE
50.784929,15.337167,0.002941107,FALSE
50.785006,11.078339,0.00212442,FALSE
50.785084,7.041273,0.001350258,FALSE
50.785161,0.222945,4.27527E-05,FALSE
50.785238,0,0,FALSE
50.785316,0,0,FALSE
50.785393,0,0,FALSE
50.785471,0,0,FALSE
50.823812,0,0,FALSE
50.823889,0,0,FALSE
50.823967,0,0,FALSE
50.824044,0,0,FALSE
50.824122,5.333552,0.00102278,FALSE
50.8242,8.055023,0.001544658,FALSE
50.824277,9.544877,0.001830358,TRUE
50.824355,8.911141,0.00170883,FALSE
50.824432,6.374257,0.001222349,FALSE
50.82451,0.093395,1.79097E-05,FALSE
50.824587,0,0,FALSE
50.824665,0,0,FALSE
50.824742,0,0,FALSE
50.82482,0,0,FALSE
50.859714,0,0,FALSE
50.859792,0,0,FALSE
50.859869,0,0,FALSE
50.859947,0,0,FALSE
50.860024,8.60597,0.00165031,FALSE
50.860102,14.368646,0.00275538,FALSE
50.86018,17.007123,0.003261343,TRUE
50.860257,14.619514,0.002803487,FALSE
50.860335,9.031722,0.001731953,FALSE
50.860412,0.124589,2.38916E-05,FALSE
50.86049,0,0,FALSE
50.860567,0,0,FALSE
50.860645,0,0,FALSE
50.860723,0,0,FALSE
50.864214,0,0,FALSE
50.864292,0,0,FALSE
50.864369,0,0,FALSE
50.864447,0,0,FALSE
50.864525,10.455803,0.00200504,FALSE
50.864602,15.179821,0.002910934,FALSE
50.86468,17.019143,0.003263648,TRUE
50.864757,14.453526,0.002771657,FALSE
50.864835,8.878877,0.001702643,FALSE
50.864913,0.21628,4.14746E-05,FALSE
50.86499,0,0,FALSE
50.865068,0,0,FALSE
50.865145,0,0,FALSE
50.865223,0,0,FALSE
50.918029,0,0,FALSE
50.918107,0,0,FALSE
50.918185,0,0,FALSE
50.918262,0,0,FALSE
50.91834,4.119268,0.000789925,FALSE
50.918418,7.012391,0.00134472,FALSE
50.918496,8.88816,0.001704423,TRUE
50.918573,8.364967,0.001604094,FALSE
50.918651,5.665666,0.001086467,FALSE
50.918729,0.17423,3.34109E-05,FALSE
50.918806,0,0,FALSE
50.918884,0,0,FALSE
50.918962,0,0,FALSE
50.91904,0,0,FALSE
50.945241,0,0,FALSE
50.945319,0,0,FALSE
50.945397,0,0,FALSE
50.945474,0,0,FALSE
50.945552,5.680968,0.001089402,FALSE
50.94563,8.410969,0.001612916,FALSE
50.945708,9.563883,0.001834002,TRUE
50.945785,8.514262,0.001632724,FALSE
50.945863,5.980158,0.001146775,FALSE
50.945941,0.13805,2.64729E-05,FALSE
50.946019,0,0,FALSE
50.946097,0,0,FALSE
50.946174,0,0,FALSE
50.946252,0,0,FALSE
50.998717,0,0,FALSE
50.998795,0,0,FALSE
50.998873,0,0,FALSE
50.998951,0,0,FALSE
50.999029,8.580983,0.001645518,FALSE
50.999107,35.837185,0.006872259,FALSE
50.999185,65.772245,0.012612707,FALSE
50.999263,78.784775,0.015108034,TRUE
50.999341,54.717707,0.010492852,FALSE
50.999418,28.59881,0.005484204,FALSE
50.999496,8.254276,0.001582868,FALSE
50.999574,0.174315,3.34272E-05,FALSE
50.999652,0,0,FALSE
50.99973,0,0,FALSE
50.999808,0,0,FALSE
50.999886,0,0,FALSE
51.019991,0,0,FALSE
51.020069,0,0,FALSE
51.020147,0,0,FALSE
51.020225,0,0,FALSE
51.020303,4.015048,0.000769939,FALSE
51.020381,7.350827,0.001409619,FALSE
51.020459,9.420604,0.001806527,TRUE
51.020537,8.994465,0.001724809,FALSE
51.020615,6.543903,0.001254881,FALSE
51.020693,0.20197,3.87304E-05,FALSE
51.020771,0,0,FALSE
51.020849,0,0,FALSE
51.020927,0,0,FALSE
51.021005,0,0,FALSE
51.048455,0,0,FALSE
51.048533,0,0,FALSE
51.048611,0,0,FALSE
51.048689,0,0,FALSE
51.048767,6.573209,0.001260501,FALSE
51.048845,10.201122,0.001956201,FALSE
51.048923,11.475835,0.002200645,TRUE
51.049001,9.821964,0.001883493,FALSE
51.049079,6.662813,0.001277683,FALSE
51.049157,0.134461,2.57847E-05,FALSE
51.049235,0,0,FALSE
51.049313,0,0,FALSE
51.049391,0,0,FALSE
51.049469,0,0,FALSE
51.076396,0,0,FALSE
51.076474,0,0,FALSE
51.076552,0,0,FALSE
51.07663,0,0,FALSE
51.076708,4.606646,0.000883386,FALSE
51.076786,7.884393,0.001511938,FALSE
51.076864,10.199933,0.001955973,TRUE
51.076943,10.175181,0.001951227,FALSE
51.077021,7.65192,0.001467358,FALSE
51.077099,4.025896,0.000772019,FALSE
51.077177,0.123254,2.36356E-05,FALSE
51.077255,0,0,FALSE
51.077333,0,0,FALSE
51.077411,0,0,FALSE
51.077489,0,0,FALSE
51.213467,0,0,FALSE
51.213545,0,0,FALSE
51.213624,0,0,FALSE
51.213702,0,0,FALSE
51.21378,4.949299,0.000949094,FALSE
51.213859,7.828796,0.001501276,FALSE
51.213937,9.546266,0.001830624,TRUE
51.214016,8.958584,0.001717928,FALSE
51.214094,6.304886,0.001209046,FALSE
51.214172,0.187262,3.591E-05,FALSE
51.214251,0,0,FALSE
51.214329,0,0,FALSE
51.214408,0,0,FALSE
51.214486,0,0,FALSE
51.261242,0,0,FALSE
51.261321,0,0,FALSE
51.261399,0,0,FALSE
51.261478,0,0,FALSE
51.261556,5.740968,0.001100907,FALSE
51.261635,9.432257,0.001808761,FALSE
51.261713,11.078177,0.002124388,TRUE
51.261792,9.492944,0.001820399,FALSE
51.26187,5.590973,0.001072144,FALSE
51.261949,0.121991,2.33934E-05,FALSE
51.262027,0,0,FALSE
51.262106,0,0,FALSE
51.262184,0,0,FALSE
51.262263,0,0,FALSE
51.362111,0,0,FALSE
51.36219,0,0,FALSE
51.362269,0,0,FALSE
51.362348,0,0,FALSE
51.362426,6.08894,0.001167636,FALSE
51.362505,9.745283,0.001868788,FALSE
51.362584,12.493491,0.002395794,FALSE
51.362663,12.887066,0.002471267,TRUE
51.362741,10.667165,0.002045571,FALSE
