SPECTRUM - MS,
ESI_metabolome water_pos (separate channel)_no vol_volt then volt on.raw,
FTMS + p NSI Full ms [50.00-100.00],
Scan #: 118-125,
RT: 1.11-1.17,
AV: 8,
Data points: 6617,
Mass,Intensity
54.869205,8.220685
54.869292,0
54.869379,0
54.869466,0
54.869553,0
55.015201,0
55.015289,0
55.015376,0
55.015463,0
55.01555,9.586384
55.015638,15.02636
55.015725,16.888502
55.015812,14.317004
55.015899,9.257515
55.015987,1.045497
55.016074,0
55.016161,0
55.016249,0
55.016336,0
55.017122,0
55.017209,0
55.017296,0
55.017383,0
55.017471,3.301128
55.017558,46.910853
55.017645,166.190735
55.017733,327.34373
55.01782,475.80483
55.017907,447.011076
55.017994,288.418748
55.018082,129.674136
55.018169,31.405536
55.018256,2.307856
55.018344,0
55.018431,0
55.018518,0
55.018605,0
55.053364,0
55.053451,0
55.053539,0
55.053626,0
55.053713,0.059864
55.053801,11.709886
55.053888,101.804181
55.053976,396.721741
55.054063,1053.18992
55.05415,1800.690881
55.054238,2282.486527
55.054325,1848.987108
55.054412,1121.521808
55.0545,437.392262
55.054587,112.809243
55.054675,10.558178
55.054762,0.482535
55.054849,0
55.054937,0
55.055024,0
55.055111,0
55.110726,0
55.110814,0
55.110901,0
55.110989,0
55.111076,6.642781
55.111164,11.602591
55.111251,14.584649
55.111339,13.918985
55.111426,9.914337
55.111514,1.045439
55.111601,0
55.111689,0
55.111776,0
55.111864,0
55.542487,0
55.542576,0
55.542664,0
55.542753,0
55.542841,4.83262
55.54293,9.306023
55.543019,11.977921
55.543107,11.630678
55.543196,8.842473
55.543284,1.655543
55.543373,0
55.543461,0
55.54355,0
55.543638,0
56.048658,0
56.048748,0
56.048838,0
56.048927,0
56.049017,0.225402
56.049107,37.785086
56.049197,195.448256
56.049286,616.552555
56.049376,1140.39999
56.049466,1602.834969
56.049556,1449.954469
56.049645,929.784109
56.049735,417.90741
56.049825,121.453461
56.049915,16.010285
56.050004,0.832943
56.050094,0
56.050184,0
56.050274,0
56.050363,0
56.057006,0
56.057096,0
56.057186,0
56.057275,0
56.057365,14.600817
56.057455,30.552291
56.057545,43.5297
56.057635,45.013108
56.057724,33.698115
56.057814,14.371136
56.057904,1.379182
56.057994,0
56.058083,0
56.058173,0
56.058263,0
56.090507,0
56.090597,0
56.090687,0
56.090777,0
56.090866,8.13485
56.090956,12.071626
56.091046,13.441936
56.091136,11.612
56.091226,7.364251
56.091316,0
56.091406,0
56.091495,0
56.091585,0
56.506499,0
56.506589,0
56.50668,0
56.506771,0
56.506862,25.128484
56.506953,49.623668
56.507044,82.458877
56.507135,91.071895
56.507225,62.57365
56.507316,26.960949
56.507407,2.043826
56.507498,0
56.507589,0
56.50768,0
56.507771,0
56.546224,0
56.546315,0
56.546406,0
56.546497,0
56.546587,0.104196
56.546678,23.269659
56.546769,100.903179
56.54686,364.516407
56.546951,822.406808
56.547042,1324.641202
56.547133,1473.826859
56.547224,1065.188952
56.547315,577.418471
56.547406,194.025383
56.547497,40.816479
56.547588,2.277308
56.547679,0
56.54777,0
56.547861,0
56.547952,0
56.84949,0
56.849582,0
56.849674,0
56.849765,0
56.849857,7.917308
56.849949,12.565555
56.85004,15.447657
56.850132,15.066583
